Vernier Format 2
Untitled.cmbl 8/3/2023 00:38:55 .
Data Set
X	Y
x	y
	

5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	0
17	0
18	1
19	0
20	0
21	0
22	1
23	1
24	1
25	0
26	0
27	1
28	0
29	0
30	2
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	2
39	2
40	1
41	1
42	1
43	1
44	2
45	2
46	2
47	2
48	1
49	1
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	1
58	1
59	3
60	2
61	2
62	3
63	2
64	2
65	2
66	3
67	3
68	3
69	2
70	3
71	3
72	2
73	3
74	3
75	3
76	3
77	3
78	3
79	3
80	3
81	3
82	4
83	3
84	3
85	3
86	3
87	3
88	4
89	3
90	3
91	4
92	3
93	3
94	4
95	4
96	4
97	4
98	4
99	4
100	4
101	3
102	5
103	5
104	4
105	4
106	4
107	4
108	4
109	4
110	5
111	5
112	4
113	4
114	5
115	4
116	4
117	5
118	5
119	5
120	5
121	5
122	5
123	5
124	5
125	5
126	6
127	5
128	5
129	5
130	5
131	6
132	6
133	5
134	6
135	6
136	5
137	6
138	6
139	6
140	6
141	6
142	6
143	6
144	5
145	5
146	7
147	6
148	6
149	6
150	6
151	6
152	6
153	7
154	7
155	7
156	6
157	6
158	7
159	6
160	7
161	7
162	7
163	7
164	7
165	6
166	7
167	7
168	7
169	8
170	8
171	7
172	7
173	7
174	7
175	8
176	7
177	7
178	8
179	7
180	7
181	7
182	8
183	8
184	8
185	8
186	8
187	8
188	7
189	7
190	9
191	8
192	8
193	8
194	8
195	8
196	8
197	8
198	9
199	9
200	8
201	9
202	9
203	8
204	9
205	9
206	9
207	9
208	8
209	8
210	9
211	9
212	9
213	9
214	9
215	9
216	9
217	9
218	9
219	10
220	9
221	9
222	10
223	9
224	9
225	9
226	10
227	10
228	10
229	9
230	10
231	10
232	9
233	11
234	11
235	10
236	10
237	10
238	10
239	10
240	10
241	10
242	11
243	10
244	10
245	10
246	10
247	10
248	11
249	11
250	11
251	11
252	10
253	10
254	11
255	11
256	11
257	11
258	11
259	11
